time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.949000,-0.7303,0.9856,0.1567,1.237
0.954000,-0.9082,0.6228,0.4438,1.187
0.959000,-1.0540,0.3309,0.7266,1.322
0.964000,-1.1132,0.1396,0.9566,1.474
0.969000,-1.0490,0.0637,1.0974,1.519
0.973000,-0.8394,0.1218,1.2110,1.478
0.978000,-0.5368,0.3015,1.3017,1.440
0.983000,-0.2943,0.5424,1.3029,1.442
0.987000,-0.1772,0.7817,1.2006,1.444
0.992000,-0.0861,1.0022,1.0126,1.427
0.998000,0.0275,1.1868,0.7755,1.418
1.002000,0.1432,1.3684,0.5642,1.487
1.006000,0.3219,1.5802,0.4173,1.666
1.011000,0.5001,1.7812,0.2588,1.868
1.016000,0.5624,1.9238,0.0891,2.006
1.021000,0.5346,1.9389,-0.0437,2.012
1.025000,0.4538,1.7838,-0.1700,1.848
1.030000,0.3081,1.3745,-0.4740,1.486
1.035000,0.0153,0.6439,-0.9418,1.141
1.041000,-0.1550,0.6700,-0.7414,1.011
1.045000,-0.0766,1.5469,0.1165,1.553
1.049000,-0.1895,1.7753,0.6713,1.907
1.054000,-0.5900,1.1308,0.6307,1.423
1.059000,-0.8660,0.3135,0.3671,0.992
1.063000,-0.8700,-0.1359,0.3233,0.938
1.068000,-0.8872,-0.3010,0.5264,1.075
1.073000,-1.0181,-0.4761,0.8125,1.387
1.078000,-1.0460,-0.6993,1.0134,1.616
1.083000,-0.8516,-0.7762,1.2069,1.669
1.087000,-0.5092,-0.5818,1.5041,1.691
1.092000,-0.1645,-0.2142,1.7542,1.775
1.100000,0.0325,0.1336,1.6857,1.691
1.102000,0.1698,0.4099,1.5217,1.585
1.106000,0.5322,0.7622,1.5142,1.777
1.111000,0.9646,1.1802,1.5752,2.192
1.116000,1.1504,1.4818,1.6383,2.491
1.121000,1.1155,1.5815,1.6345,2.533
1.128000,0.9864,1.5158,1.5955,2.412
1.130000,0.8244,1.3381,1.6102,2.250
1.135000,0.6646,1.0797,1.7028,2.123
1.140000,0.5568,0.7882,1.8803,2.113
1.144000,0.5584,0.5350,2.1401,2.276
1.149000,0.6746,0.3197,2.3980,2.512
1.154000,0.8556,0.1402,2.5702,2.713
1.158000,1.0396,-0.0320,2.6209,2.820
1.163000,1.2150,-0.1943,2.6528,2.924
1.168000,1.3657,-0.3085,2.7709,3.105
1.173000,1.4113,-0.4201,2.8933,3.246
1.177000,1.3574,-0.5261,2.9124,3.256
1.182000,1.2600,-0.6045,2.8256,3.152
1.187000,1.0928,-0.6476,2.6763,2.962
1.193000,0.8937,-0.6003,2.5747,2.791
1.197000,0.7915,-0.4182,2.7191,2.863
1.202000,0.7698,-0.1358,3.1397,3.236
1.206000,0.7145,0.0558,3.5297,3.602
1.211000,0.5788,0.0544,3.6905,3.736
