time,ax,ay,az
2019-11-21 14:9:21.7410,-0.06,0.43,-0.07
2019-11-21 14:9:21.8410,-1.29,1.21,0.37
2019-11-21 14:9:21.9420,-1.34,0.6,0.45
2019-11-21 14:9:22.0420,-1.1,-0.15,-0.09
2019-11-21 14:9:22.1420,-0.25,-0.01,-0.16
2019-11-21 14:9:22.2420,0.1,0.1,-0.15
2019-11-21 14:9:22.3420,0.22,-0.02,-0.04
2019-11-21 14:9:22.4420,0.49,0.44,-0.08
2019-11-21 14:9:22.5420,1.19,1.44,-0.13
2019-11-21 14:9:22.6420,0.1,-0.58,-0.22
2019-11-21 14:9:22.7420,0.16,-0.49,-0.1
2019-11-21 14:9:22.8420,-0.33,0.69,-0.08
2019-11-21 14:9:22.9420,-1.75,1.35,0.48
2019-11-21 14:9:23.0420,0.07,0.45,0.51
2019-11-21 14:9:23.1420,-1.08,0.15,0.14
2019-11-21 14:9:23.2420,-0.27,-0.03,-0.05
2019-11-21 14:9:23.3430,0.06,0.05,-0.03
2019-11-21 14:9:23.4420,0.23,0.01,-0.02
2019-11-21 14:9:23.5420,0.74,0.59,-0.19
2019-11-21 14:9:23.6420,1.91,0.18,-0.52
2019-11-21 14:9:23.7420,0.9,-0.88,-0.25
2019-11-21 14:9:23.8430,0.15,-0.35,-0.07
2019-11-21 14:9:23.9430,-0.58,0.83,0.08
2019-11-21 14:9:24.0430,-2.6,0.52,0.26
2019-11-21 14:9:24.1430,-0.46,2.99,0.12
2019-11-21 14:9:24.2430,0.07,0.12,-0.24
2019-11-21 14:9:24.3430,0.01,0.04,-0.07
2019-11-21 14:9:24.4430,-0.0,-0.04,-0.14
2019-11-21 14:9:24.5430,0.32,0.3,0.17
2019-11-21 14:9:24.6430,1.43,0.96,-0.08
2019-11-21 14:9:24.7430,-0.17,0.55,-0.45
2019-11-21 14:9:24.8430,1.02,-0.29,-0.53
2019-11-21 14:9:24.9430,0.34,0.23,-0.24
2019-11-21 14:9:25.0430,-0.72,1.31,0.6
2019-11-21 14:9:25.1430,-1.81,0.58,0.56
2019-11-21 14:9:25.2430,-1.22,-0.29,-0.19
2019-11-21 14:9:25.3430,0.01,0.11,-0.02
2019-11-21 14:9:25.4440,0.08,0.04,-0.19
2019-11-21 14:9:25.5440,0.14,0.01,-0.14
2019-11-21 14:9:25.6430,0.56,0.43,-0.12
2019-11-21 14:9:25.7440,1.34,1.59,-0.2
2019-11-21 14:9:25.8440,0.37,-0.56,-0.11
2019-11-21 14:9:25.9440,0.08,-0.33,0.0
2019-11-21 14:9:26.0440,-0.13,0.39,-0.05
2019-11-21 14:9:26.1430,-2.17,1.32,0.63
2019-11-21 14:9:26.2440,1.31,1.04,1.06
2019-11-21 14:9:26.3440,-0.47,0.21,-0.02
2019-11-21 14:9:26.4440,-0.04,0.01,-0.11
2019-11-21 14:9:26.5440,0.12,0.13,-0.08
2019-11-21 14:9:26.6440,0.3,0.17,0.02
2019-11-21 14:9:26.7440,1.0,0.68,-0.36
2019-11-21 14:9:26.8440,1.69,0.01,-0.48
2019-11-21 14:9:26.9440,1.0,-0.85,-0.34
