time,ax,ay,az
2019-11-21 14:7:27.8830,-0.23,-0.07,-0.03
2019-11-21 14:7:27.9830,-0.44,0.09,0.0
2019-11-21 14:7:28.0830,-0.3,0.61,-0.23
2019-11-21 14:7:28.1830,-0.06,0.61,-0.23
2019-11-21 14:7:28.2830,0.11,0.1,-0.02
2019-11-21 14:7:28.3840,0.03,-0.35,0.04
2019-11-21 14:7:28.4830,0.18,-0.31,-0.04
2019-11-21 14:7:28.5830,0.23,-0.23,0.27
2019-11-21 14:7:28.6830,0.58,0.01,-0.01
2019-11-21 14:7:28.7830,0.38,0.07,-0.02
2019-11-21 14:7:28.8830,0.04,-0.03,-0.23
2019-11-21 14:7:28.9830,-0.16,-0.12,0.01
2019-11-21 14:7:29.0840,-0.33,0.1,-0.07
2019-11-21 14:7:29.1840,-0.17,0.39,-0.16
2019-11-21 14:7:29.2840,-0.33,0.5,-0.15
2019-11-21 14:7:29.3840,-0.08,0.32,-0.01
2019-11-21 14:7:29.4840,-0.1,-0.26,0.01
2019-11-21 14:7:29.5840,0.07,-0.24,0.07
2019-11-21 14:7:29.6840,0.36,-0.17,0.22
2019-11-21 14:7:29.7840,0.7,0.28,0.03
2019-11-21 14:7:29.8840,0.45,0.0,0.09
2019-11-21 14:7:29.9840,0.14,-0.05,-0.31
2019-11-21 14:7:30.0840,-0.14,-0.11,-0.05
2019-11-21 14:7:30.1840,-0.39,0.16,-0.15
2019-11-21 14:7:30.2840,-0.31,0.47,-0.16
2019-11-21 14:7:30.3840,-0.2,0.45,-0.26
2019-11-21 14:7:30.4840,-0.04,0.2,0.02
2019-11-21 14:7:30.5840,0.03,-0.28,-0.02
2019-11-21 14:7:30.6840,-0.09,-0.17,0.06
2019-11-21 14:7:30.7840,0.2,0.02,0.17
2019-11-21 14:7:30.8850,0.78,0.08,0.15
2019-11-21 14:7:30.9850,0.34,0.04,0.05
2019-11-21 14:7:31.0850,-0.03,-0.09,-0.25
2019-11-21 14:7:31.1850,-0.2,-0.17,0.05
2019-11-21 14:7:31.2850,-0.28,0.02,-0.03
2019-11-21 14:7:31.3850,-0.11,0.41,-0.25
2019-11-21 14:7:31.4850,-0.14,0.15,-0.24
2019-11-21 14:7:31.5850,-0.06,-0.02,0.02
2019-11-21 14:7:31.6850,-0.13,-0.27,0.01
2019-11-21 14:7:31.7850,-0.07,-0.13,0.09
2019-11-21 14:7:31.8850,0.44,-0.05,0.46
2019-11-21 14:7:31.9850,0.56,0.3,0.05
2019-11-21 14:7:32.0850,0.22,0.11,-0.0
2019-11-21 14:7:32.1850,-0.01,-0.17,-0.18
2019-11-21 14:7:32.2850,-0.23,-0.16,0.03
2019-11-21 14:7:32.3850,-0.29,0.15,0.06
2019-11-21 14:7:32.4850,-0.08,0.48,-0.3
2019-11-21 14:7:32.5850,0.16,0.12,-0.28
2019-11-21 14:7:32.6860,0.03,-0.16,0.01
2019-11-21 14:7:32.7850,-0.2,-0.24,0.08
2019-11-21 14:7:32.8860,-0.0,-0.09,0.05
2019-11-21 14:7:32.9860,0.35,0.04,0.24
2019-11-21 14:7:33.0860,0.45,0.21,0.03
2019-11-21 14:7:33.1860,0.37,0.1,-0.08
2019-11-21 14:7:33.2860,-0.07,-0.22,-0.15
2019-11-21 14:7:33.3860,-0.36,-0.13,0.02
2019-11-21 14:7:33.4860,-0.19,0.13,0.14
2019-11-21 14:7:33.5860,-0.2,0.4,-0.35
2019-11-21 14:7:33.6860,0.01,0.12,-0.16
2019-11-21 14:7:33.7860,0.06,-0.15,0.04
2019-11-21 14:7:33.8860,-0.12,-0.25,0.04
2019-11-21 14:7:33.9860,-0.02,-0.12,0.03
2019-11-21 14:7:34.0860,0.31,0.13,0.15
2019-11-21 14:7:34.1870,0.43,0.31,-0.07
2019-11-21 14:7:34.2860,0.26,0.03,0.03
2019-11-21 14:7:34.3860,-0.04,-0.21,-0.11
2019-11-21 14:7:34.4860,-0.31,-0.04,0.08
2019-11-21 14:7:34.5860,-0.29,0.24,-0.08
2019-11-21 14:7:34.6860,-0.22,0.55,-0.29
2019-11-21 14:7:34.7860,0.1,0.39,-0.35
2019-11-21 14:7:34.8860,0.09,-0.13,0.13
2019-11-21 14:7:34.9870,0.07,-0.41,0.35
2019-11-21 14:7:35.0870,0.11,-0.26,-0.02
2019-11-21 14:7:35.1870,0.42,0.05,-0.04
2019-11-21 14:7:35.2870,0.39,-0.04,-0.2
2019-11-21 14:7:35.3870,0.08,0.07,-0.12
2019-11-21 14:7:35.4870,-0.12,-0.1,-0.08
2019-11-21 14:7:35.5870,-0.49,0.08,0.02
2019-11-21 14:7:35.6870,-0.24,0.4,0.07
2019-11-21 14:7:35.7870,-0.12,0.49,-0.2
2019-11-21 14:7:35.8870,0.01,0.21,-0.06
2019-11-21 14:7:35.9870,-0.08,-0.3,0.16
2019-11-21 14:7:36.0870,0.01,-0.18,0.01
2019-11-21 14:7:36.1870,0.35,-0.17,0.13
2019-11-21 14:7:36.2870,0.46,-0.12,-0.03
2019-11-21 14:7:36.3870,0.33,-0.04,0.05
2019-11-21 14:7:36.4870,-0.03,0.06,-0.3
2019-11-21 14:7:36.5880,-0.11,-0.11,0.16
2019-11-21 14:7:36.6870,-0.28,0.04,-0.09
2019-11-21 14:7:36.7870,-0.25,0.48,-0.09
2019-11-21 14:7:36.8880,-0.09,0.28,-0.29
2019-11-21 14:7:36.9880,-0.01,0.11,0.03
2019-11-21 14:7:37.0880,-0.19,-0.23,-0.02
2019-11-21 14:7:37.1880,-0.1,-0.2,-0.04
2019-11-21 14:7:37.2880,0.27,-0.0,0.14
2019-11-21 14:7:37.3880,0.48,0.33,0.04
2019-11-21 14:7:37.4880,0.35,0.01,0.02
2019-11-21 14:7:37.5880,0.0,-0.25,-0.13
2019-11-21 14:7:37.6880,-0.07,-0.21,0.08
2019-11-21 14:7:37.7880,-0.23,0.07,-0.04
2019-11-21 14:7:37.8880,-0.17,0.31,-0.24
2019-11-21 14:7:37.9880,-0.07,0.12,-0.3
2019-11-21 14:7:38.0880,-0.05,0.0,0.06
2019-11-21 14:7:38.1890,-0.14,-0.24,0.08
2019-11-21 14:7:38.2880,-0.11,-0.18,0.05
2019-11-21 14:7:38.3880,0.28,0.09,0.16
2019-11-21 14:7:38.4880,0.35,0.42,0.04
2019-11-21 14:7:38.5880,0.4,0.05,0.06
2019-11-21 14:7:38.6880,-0.02,-0.26,-0.09
2019-11-21 14:7:38.7880,-0.27,-0.14,0.04
2019-11-21 14:7:38.8880,-0.23,0.1,0.02
2019-11-21 14:7:38.9890,-0.06,0.3,-0.25
2019-11-21 14:7:39.0880,0.03,-0.0,-0.24
2019-11-21 14:7:39.1890,-0.08,-0.07,0.12
2019-11-21 14:7:39.2890,-0.06,-0.31,0.03
2019-11-21 14:7:39.3890,0.06,-0.13,0.08
2019-11-21 14:7:39.4890,0.3,0.1,0.14
2019-11-21 14:7:39.5890,0.34,0.39,-0.01
2019-11-21 14:7:39.6890,0.17,0.07,-0.01
2019-11-21 14:7:39.7890,-0.03,-0.21,-0.12
2019-11-21 14:7:39.8890,-0.28,-0.1,0.01
2019-11-21 14:7:39.9890,-0.29,0.2,0.08
2019-11-21 14:7:40.0890,-0.01,0.47,-0.27
2019-11-21 14:7:40.1890,0.1,-0.0,-0.18
2019-11-21 14:7:40.2890,0.03,-0.19,0.0
2019-11-21 14:7:40.3890,-0.11,-0.28,0.12
2019-11-21 14:7:40.4890,0.0,-0.23,0.09
2019-11-21 14:7:40.5900,0.37,0.11,0.06
2019-11-21 14:7:40.6890,0.29,0.07,-0.05
2019-11-21 14:7:40.7890,0.18,0.15,-0.01
2019-11-21 14:7:40.8900,0.08,-0.25,0.01
2019-11-21 14:7:40.9900,-0.32,0.06,-0.07
2019-11-21 14:7:41.0900,-0.23,0.29,0.05
2019-11-21 14:7:41.1900,-0.05,0.6,-0.16
2019-11-21 14:7:41.2900,0.03,0.26,-0.02
2019-11-21 14:7:41.3900,-0.07,-0.09,-0.1
2019-11-21 14:7:41.4900,-0.14,-0.23,0.1
2019-11-21 14:7:41.5900,0.05,-0.17,0.15
2019-11-21 14:7:41.6900,0.45,0.19,0.04
2019-11-21 14:7:41.7900,0.42,-0.17,-0.07
2019-11-21 14:7:41.8900,0.09,-0.04,-0.16
2019-11-21 14:7:41.9900,0.03,-0.21,0.05
2019-11-21 14:7:42.0900,-0.21,0.12,-0.0
2019-11-21 14:7:42.1910,-0.11,0.42,-0.01
2019-11-21 14:7:42.2900,-0.18,0.55,-0.07
2019-11-21 14:7:42.3900,-0.04,0.37,-0.18
2019-11-21 14:7:42.4900,-0.22,-0.18,0.03
2019-11-21 14:7:42.5910,-0.09,-0.14,0.07
2019-11-21 14:7:42.6900,0.27,-0.15,0.08
2019-11-21 14:7:42.7910,0.56,-0.06,0.03
2019-11-21 14:7:42.8910,0.42,-0.01,-0.03
2019-11-21 14:7:42.9910,0.12,-0.12,-0.16
2019-11-21 14:7:43.0910,-0.16,-0.21,0.08
2019-11-21 14:7:43.1910,-0.24,0.02,-0.08
2019-11-21 14:7:43.2910,-0.17,0.46,-0.22
2019-11-21 14:7:43.3910,-0.24,0.24,-0.26
2019-11-21 14:7:43.4910,-0.16,0.17,0.03
2019-11-21 14:7:43.5910,-0.24,-0.16,0.04
2019-11-21 14:7:43.6910,0.0,-0.17,0.01
2019-11-21 14:7:43.7910,0.33,0.02,0.08
2019-11-21 14:7:43.8910,0.62,0.22,0.1
2019-11-21 14:7:43.9910,0.51,0.01,0.19
2019-11-21 14:7:44.0910,0.0,-0.1,-0.19
2019-11-21 14:7:44.1910,-0.27,-0.04,-0.01
2019-11-21 14:7:44.2910,-0.16,0.11,-0.07
2019-11-21 14:7:44.3910,-0.13,0.33,-0.23
2019-11-21 14:7:44.4910,-0.11,0.11,-0.13
2019-11-21 14:7:44.5910,-0.17,0.06,-0.11
2019-11-21 14:7:44.6920,-0.21,-0.15,0.03
2019-11-21 14:7:44.7910,-0.02,-0.13,0.07
2019-11-21 14:7:44.8910,0.27,0.15,0.22
2019-11-21 14:7:44.9910,0.53,0.15,0.16
2019-11-21 14:7:45.0910,0.55,-0.04,0.07
2019-11-21 14:7:45.1910,-0.09,-0.16,-0.15
2019-11-21 14:7:45.2920,-0.08,-0.16,-0.02
2019-11-21 14:7:45.3920,-0.15,0.14,-0.01
2019-11-21 14:7:45.4920,-0.08,0.41,-0.16
2019-11-21 14:7:45.5920,-0.01,0.24,-0.0
2019-11-21 14:7:45.6920,-0.19,0.04,-0.07
2019-11-21 14:7:45.7920,-0.25,-0.15,-0.04
2019-11-21 14:7:45.8920,-0.07,-0.14,0.04
2019-11-21 14:7:45.9920,0.29,0.09,0.17
2019-11-21 14:7:46.0920,0.34,0.2,-0.09
2019-11-21 14:7:46.1920,0.41,0.02,0.01
2019-11-21 14:7:46.2920,0.01,-0.23,-0.09
2019-11-21 14:7:46.3920,-0.29,-0.07,0.02
2019-11-21 14:7:46.4920,-0.13,0.14,0.11
2019-11-21 14:7:46.5920,-0.02,0.38,-0.21
2019-11-21 14:7:46.6920,0.07,0.09,-0.15
2019-11-21 14:7:46.7920,0.01,-0.1,-0.04
2019-11-21 14:7:46.8920,-0.19,-0.26,0.05
2019-11-21 14:7:46.9930,-0.0,-0.21,0.07
2019-11-21 14:7:47.0930,0.26,0.13,0.07
2019-11-21 14:7:47.1930,0.28,0.24,-0.09
2019-11-21 14:7:47.2930,0.25,0.18,-0.07
2019-11-21 14:7:47.3930,-0.03,-0.26,-0.05
2019-11-21 14:7:47.4930,-0.24,-0.11,0.15
2019-11-21 14:7:47.5930,-0.14,0.22,-0.03
2019-11-21 14:7:47.6930,-0.04,0.32,-0.21
2019-11-21 14:7:47.7930,0.1,0.15,-0.33
2019-11-21 14:7:47.8930,-0.1,-0.1,-0.03
2019-11-21 14:7:47.9930,-0.2,-0.26,0.1
2019-11-21 14:7:48.0930,-0.04,-0.18,0.13
2019-11-21 14:7:48.1930,0.39,0.11,0.08
2019-11-21 14:7:48.2930,0.35,0.04,-0.14
2019-11-21 14:7:48.3930,0.18,0.15,-0.06
2019-11-21 14:7:48.4930,0.05,-0.29,-0.01
2019-11-21 14:7:48.5930,-0.14,-0.07,-0.03
2019-11-21 14:7:48.6930,-0.17,0.23,0.02
2019-11-21 14:7:48.7930,-0.1,0.47,-0.11
2019-11-21 14:7:48.8940,0.12,0.35,-0.12
2019-11-21 14:7:48.9940,-0.07,-0.11,0.01
2019-11-21 14:7:49.0940,-0.19,-0.17,-0.02
2019-11-21 14:7:49.1940,-0.02,-0.2,0.07
2019-11-21 14:7:49.2940,0.3,0.09,-0.05
2019-11-21 14:7:49.3940,0.46,-0.01,-0.11
2019-11-21 14:7:49.4940,0.1,0.06,-0.1
2019-11-21 14:7:49.5940,-0.08,-0.3,0.1
2019-11-21 14:7:49.6940,-0.14,-0.16,0.12
2019-11-21 14:7:49.7940,-0.1,0.39,0.01
2019-11-21 14:7:49.8940,-0.2,0.55,-0.04
2019-11-21 14:7:49.9940,-0.1,0.38,0.03
2019-11-21 14:7:50.0950,-0.22,-0.2,-0.03
2019-11-21 14:7:50.1940,-0.16,-0.24,0.07
2019-11-21 14:7:50.2940,0.26,-0.12,0.17
2019-11-21 14:7:50.3940,0.46,0.08,0.13
2019-11-21 14:7:50.4950,0.49,-0.04,0.08
2019-11-21 14:7:50.5950,0.13,-0.1,-0.27
2019-11-21 14:7:50.6950,-0.25,-0.14,0.06
2019-11-21 14:7:50.7950,-0.32,-0.02,0.01
2019-11-21 14:7:50.8950,-0.16,0.45,-0.17
2019-11-21 14:7:50.9950,-0.12,0.16,-0.22
2019-11-21 14:7:51.0950,-0.02,0.03,0.01
2019-11-21 14:7:51.1950,-0.16,-0.28,0.1
2019-11-21 14:7:51.2950,-0.04,-0.14,0.02
2019-11-21 14:7:51.3950,0.2,0.05,0.16
2019-11-21 14:7:51.4950,0.52,0.27,0.02
2019-11-21 14:7:51.5950,0.38,0.08,0.07
2019-11-21 14:7:51.6950,0.03,-0.21,-0.05
2019-11-21 14:7:51.7950,-0.21,-0.17,0.04
2019-11-21 14:7:51.8950,-0.25,0.16,-0.06
2019-11-21 14:7:51.9950,-0.17,0.37,-0.34
2019-11-21 14:7:52.0950,0.01,0.06,-0.13
2019-11-21 14:7:52.1950,-0.03,-0.08,-0.03
2019-11-21 14:7:52.2950,-0.08,-0.3,0.12
2019-11-21 14:7:52.3950,-0.01,-0.18,0.11
2019-11-21 14:7:52.4960,0.28,0.14,0.13
2019-11-21 14:7:52.5960,0.34,0.31,-0.07
2019-11-21 14:7:52.6960,0.2,0.13,-0.03
2019-11-21 14:7:52.7960,0.05,-0.34,-0.03
2019-11-21 14:7:52.8960,-0.22,-0.06,0.04
